"filename", "language", "JSON", "Markdown", "CSS", "JavaScript", "JavaScript JSX", "HTML", "comment", "blank", "total"
"/home/jeff/bobawedding/README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"/home/jeff/bobawedding/lib/pocketbase.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/jeff/bobawedding/package-lock.json", "JSON", 26036, 0, 0, 0, 0, 0, 0, 1, 26037
"/home/jeff/bobawedding/package.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 1, 68
"/home/jeff/bobawedding/public/index.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 3, 29
"/home/jeff/bobawedding/src/Ably.js", "JavaScript", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/home/jeff/bobawedding/src/App.css", "CSS", 0, 0, 366, 0, 0, 0, 1, 58, 425
"/home/jeff/bobawedding/src/App.js", "JavaScript", 0, 0, 0, 34, 0, 0, 3, 5, 42
"/home/jeff/bobawedding/src/components/Comment.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 1, 39
"/home/jeff/bobawedding/src/components/Comments.js", "JavaScript", 0, 0, 0, 15, 0, 0, 1, 4, 20
"/home/jeff/bobawedding/src/components/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 260, 0, 41, 81, 382
"/home/jeff/bobawedding/src/components/Gallery.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 11, 152
"/home/jeff/bobawedding/src/components/RSVP.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 7, 19, 91
"/home/jeff/bobawedding/src/components/Registry.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 9, 32
"/home/jeff/bobawedding/src/components/Schedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 1, 3, 148
"/home/jeff/bobawedding/src/components/WeddingParty.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 2, 9
"/home/jeff/bobawedding/src/components/dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jeff/bobawedding/src/components/registry/registryStyling.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/jeff/bobawedding/src/components/rsvp/rsvpStyling.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 1, 9
"/home/jeff/bobawedding/src/components/schedule/scheduleStyling.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 7, 32
"/home/jeff/bobawedding/src/functions/Cancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 2, 9
"/home/jeff/bobawedding/src/functions/CartProduct.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 3, 22
"/home/jeff/bobawedding/src/functions/Success.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/home/jeff/bobawedding/src/functions/stripeFunctions.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 4, 30
"/home/jeff/bobawedding/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jeff/bobawedding/src/index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/jeff/bobawedding/src/serverFunctions/galleryServerFunction.cjs", "JavaScript", 0, 0, 0, 92, 0, 0, 11, 24, 127
"/home/jeff/bobawedding/src/serverFunctions/testJs.cjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"Total", "-", 26103, 38, 403, 244, 659, 26, 66, 284, 27823
